restaurant_id,name,cuisine_type,location,owner_name,average_delivery_time,contact_number,rating,total_orders,is_active
d330643a-d45b-46fd-b3ea-6dc2d1113b13,"Wright, Hughes and Christensen",American,"5526 Garcia Crossroad Suite 405
Millerchester, CO 18283",Rachel Matthews,31,+1-664-963-4514x112,3.18,11,True
5aff413b-74be-463e-ab2c-cffee53f966d,Monroe LLC,Italian,"062 Peterson Spur
Kevinfort, CA 91466",Charles Thomas,59,+1-515-603-1313x94103,2.11,188,False
0b4a22f5-8a6f-4870-a174-b2a5de15e3fc,Vazquez-Landry,Chinese,"8487 Andrea Court Apt. 666
Sanchezborough, AS 06147",Mrs. Whitney Combs,59,938-285-6522x48171,4.97,146,False
87a6f9f1-b501-4731-85d0-af673f22c0f6,Howell Ltd,Italian,"41131 Vega Light Apt. 197
North Juliebury, CA 92259",Aaron Hooper,27,(622)474-5419x72994,3.6,157,False
eda138c0-ab00-473a-abc1-4239c1295cf7,"Gomez, Barry and Miller",Mexican,"000 Cline Keys
Smithborough, MA 46567",Albert Elliott MD,56,001-203-229-0347x70830,4.76,135,False
ee28cccb-13f4-4d4a-bb34-7462cfd7d995,Bowen and Sons,Mexican,"09941 Elizabeth Port Apt. 489
Sanchezview, WV 82852",Katherine Baker,38,001-433-969-2264x698,1.94,190,False
12669193-051b-4301-b36f-f314250feaa9,Porter Group,American,"0307 Banks Isle
Fowlerfurt, DE 92626",Lisa Suarez,48,3374167800,4.6,103,True
0c1b7750-9749-4c54-a305-5990697ce678,"Davis, Jones and Dunn",Italian,"3136 Deleon Station Suite 466
Curtisbury, VI 86886",Michael Hayes,42,+1-604-946-1644x15144,3.78,51,False
51d79d8c-77e3-4fa1-bc29-14d72405b702,"Moore, Downs and Adkins",Italian,"USCGC Barton
FPO AE 67547",Dr. Travis Gardner,58,001-652-734-2640x29058,3.51,46,False
80557b00-bab4-4b69-aaff-479fa9b35a3e,Stewart LLC,Chinese,"2082 Marc Groves
South Davidmouth, NY 27720",Mark Boyd,20,001-984-945-6580,3.07,142,True
ebf1523d-cfa5-4d83-ab2d-cd6a71581547,Hill and Sons,Mexican,"7616 Mitchell Ville
West Melissamouth, NH 02185",Todd Lewis,21,+1-853-958-3146,3.26,109,True
f241998d-c3f1-4596-97bb-a1ab4e691cc9,Richardson PLC,Mexican,"7795 Sheppard Crossing
West Heather, WA 38771",Devin Jensen,23,+1-556-256-9263x36359,4.22,178,False
d579deec-e86c-4c92-a875-81553047e993,"Ramos, Randall and Powers",Indian,"547 Robert Turnpike Apt. 805
West Robertshire, KS 72096",Mrs. Victoria Gray,51,2006346281,3.51,147,True
4c5fd215-e2a5-4ed6-95c3-6614224bf5f7,Cannon-Thompson,Italian,"60278 Bryan Wall
Hillside, VI 48538",Louis Munoz,48,001-326-243-1742x12195,3.35,93,True
